s,E0,E1,E2,E3,gap,K
6.950000000000000622e-02,-1.862646616930472065e+00,-6.945155160123006599e-02,6.950000000000000622e-02,1.862598168531702347e+00,1.793195065329241888e+00,1.289789869467849737e-01
7.000000000000000666e-02,-1.861671485701162032e+00,-6.995044544109271789e-02,7.000000000000000666e-02,1.861621931142254827e+00,1.791721040260069397e+00,1.293428171962999196e-01
7.050000000000000711e-02,-1.860696557631456471e+00,-7.044932175627091619e-02,7.050000000000000711e-02,1.860645879387727408e+00,1.790247235875185527e+00,1.297078622371259926e-01
7.100000000000000755e-02,-1.859721833118839207e+00,-7.094818038391012549e-02,7.100000000000000755e-02,1.859670013502749075e+00,1.788773652734929165e+00,1.300741266983676536e-01
7.150000000000000799e-02,-1.858747312561814358e+00,-7.144702116052337182e-02,7.150000000000000799e-02,1.858694333722337166e+00,1.787300291401290986e+00,1.304416152284984254e-01
7.200000000000000844e-02,-1.857772996359903894e+00,-7.194584392198836997e-02,7.200000000000000844e-02,1.857718840281891826e+00,1.785827152437915455e+00,1.308103324954488500e-01
7.249999999999999500e-02,-1.856798884913657632e+00,-7.244464850354336016e-02,7.249999999999998113e-02,1.856743533417200887e+00,1.784354236410114369e+00,1.311802831866898389e-01
7.299999999999999545e-02,-1.855824978624651900e+00,-7.294343473978903702e-02,7.299999999999998157e-02,1.855768413364440983e+00,1.782881543884862863e+00,1.315514720093198808e-01
7.349999999999999589e-02,-1.854851277895490869e+00,-7.344220246468138869e-02,7.349999999999998201e-02,1.854793480360171998e+00,1.781409075430809397e+00,1.319239036901495576e-01
7.399999999999999634e-02,-1.853877783129815660e+00,-7.394095151153211309e-02,7.399999999999998246e-02,1.853818734641347721e+00,1.779936831618283533e+00,1.322975829757895849e-01
7.449999999999999678e-02,-1.852904494732303009e+00,-7.443968171300503756e-02,7.449999999999998290e-02,1.852844176445308300e+00,1.778464813019297930e+00,1.326725146327358273e-01
7.499999999999999722e-02,-1.851931413108671043e+00,-7.493839290111445339e-02,7.499999999999998335e-02,1.851869806009785346e+00,1.776993020207556562e+00,1.330487034474580055e-01
7.549999999999999767e-02,-1.850958538665678388e+00,-7.543708490722184079e-02,7.549999999999998379e-02,1.850895623572900606e+00,1.775521453758456492e+00,1.334261542264865985e-01
7.599999999999999811e-02,-1.849985871811134164e+00,-7.593575756203414795e-02,7.599999999999998423e-02,1.849921629373168619e+00,1.774050114249100085e+00,1.338048717965000523e-01
7.649999999999999856e-02,-1.849013412953894653e+00,-7.643441069560059919e-02,7.649999999999998468e-02,1.848947823649495836e+00,1.772579002258294123e+00,1.341848610044147350e-01
7.699999999999999900e-02,-1.848041162503871071e+00,-7.693304413731157088e-02,7.699999999999998512e-02,1.847974206641182393e+00,1.771108118366559570e+00,1.345661267174718123e-01
7.749999999999999944e-02,-1.847069120872029568e+00,-7.743165771589376190e-02,7.749999999999998557e-02,1.847000778587923442e+00,1.769637463156135793e+00,1.349486738233269534e-01
7.799999999999999989e-02,-1.846097288470398334e+00,-7.793025125940999942e-02,7.799999999999998601e-02,1.846027539729808264e+00,1.768167037210988335e+00,1.353325072301397036e-01
7.850000000000000033e-02,-1.845125665712066043e+00,-7.842882459525581107e-02,7.849999999999998646e-02,1.845054490307322048e+00,1.766696841116810246e+00,1.357176318666640791e-01
7.900000000000000078e-02,-1.844154253011190514e+00,-7.892737755015669099e-02,7.899999999999998690e-02,1.844081630561346774e+00,1.765226875461033851e+00,1.361040526823364405e-01
7.950000000000000122e-02,-1.843183050782995824e+00,-7.942590995016550470e-02,7.949999999999998734e-02,1.843108960733160995e+00,1.763757140832830306e+00,1.364917746473687521e-01
8.000000000000000167e-02,-1.842212059443783634e+00,-7.992442162066101807e-02,7.999999999999998779e-02,1.842136481064444720e+00,1.762287637823122699e+00,1.368808027528373439e-01
